Identifier,Term,Class,Class.Nbr,Section,Primary.Instruction.Section,Class.Description,Official.Grade,Status.Cd,Status.Reason,Enrolled.Hours,Add.Date,IPEDS.Ethnicity,X1st.Gen.College.Std.Flag,Mail.City,Mail.State.Cd,Mail.Country,Home.City,Home.State.Cd,Home.County,Home.Country,Academic.Level.Begin.of.Term,Cum.GPA,Total.Cum.Units,Total.NAU.Units,Primary.Academic.Program,Primary.Academic.Plan,Sub.Plan,Student.Campus,College.Cd,College,Division.Cd,Division,Unit.Cd,Unit,First.Term.Enrolled.Cd.Ugrd,First.Term.Enrolled.Cd.Grad,Last.Term.Enrolled,Class.Campus.Cd,Class.Campus,Instruction.Mode,Age,Sex,1st.Gen.College.Std.Flag,section_code,Passed,Passed_int,hw_submissions,hw_score_mean,hw_time_total_min,hw_fast_submit_rate,hw_available,hw_completion_rate,unit1_exam_score,Attendance...Participation.Final.Score,Pre.Class.Prep.Final.Score,Check.Your.Understanding.Final.Score,Friday.Funday.Final.Score,Module.Knowledge.Assessments.Final.Score,Module.Practice.Knowledge.Assessments.Final.Score,Final.Knowledge.Assessment.Final.Score,Study.Skills.Videos.Final.Score,Final.Score,Projects.Final.Score,Assignments.Final.Score
1.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,1/7/2025,White,N,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Senior,3.26,137.0,113.0,UGRD-Degree Seeking,Biomedical Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1217.0,,1254.0,DISLN,Online,Online,22.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
2.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,1/6/2025,White,N,Tucson,AZ,United States,Tucson,AZ,Pima,USA,Freshman,2.25,37.0,37.0,UGRD-Degree Seeking,Business Econ (BSBA),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1217.0,,1257.0,DISLN,Online,Online,21.0,Male,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
4.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,1/23/2025,White,Y,Lake Havasu City,AZ,United States,Lake Havasu City,AZ,Mohave,USA,Junior,2.78,67.0,67.0,UGRD-Degree Seeking,Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1217.0,,1251.0,DISLN,Online,Online,21.0,Female,Y,1251-1089,False,0,,,,,,,,,,,,,,,,,,
8.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,11/4/2024,White,N,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Freshman,2.88,41.0,33.0,UGRD-Degree Seeking,Construction Mgt (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,21.0,Male,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
10.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,A,E,Enrolled,4.0,10/24/2024,White,Y,Mesa,AZ,United States,Mesa,AZ,Maricopa,USA,Junior,3.03,75.0,29.0,UGRD-Degree Seeking,Biomedical Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,21.0,Female,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
12.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,1/12/2025,White,N,Tucson,AZ,United States,Tucson,AZ,Pima,USA,Sophomore,2.52,65.0,65.0,UGRD-Degree Seeking,Ecol & Evol Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1227.0,,1257.0,DISLN,Online,Online,20.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
13.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,12/12/2024,White,Y,Winchester,CA,United States,Winchester,CA, ,USA,Junior,3.12,81.0,81.0,UGRD-Degree Seeking,SecEd-General Sci (BSED),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1227.0,,1257.0,DISLN,Online,Online,20.0,Female,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
14.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,11/26/2024,White,N,Surprise,AZ,United States,Surprise,AZ,Maricopa,USA,Sophomore,3.14,63.0,63.0,UGRD-Degree Seeking,Ecol & Evol Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1227.0,,1257.0,DISLN,Online,Online,21.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
15.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,11/20/2024,White,N,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Freshman,2.62,26.0,26.0,UGRD-Degree Seeking,Construction Mgt (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1251.0,DISLN,Online,Online,20.0,Male,N,1251-1089,False,0,,,,,,,,,,,,,,,,,,
16.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,12/9/2024,Hispanic/Latino,Y,Lake Havasu city,AZ,United States,Lake Havasu city,AZ,Mohave,USA,Freshman,2.48,34.0,34.0,UGRD-Degree Seeking,Cybersecurity (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,20.0,Male,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
17.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,A,E,Enrolled,4.0,1/7/2025,White,N,Flagstaff,AZ,United States,Mesa,AZ,Maricopa,USA,Sophomore,4.0,67.0,51.0,UGRD-Degree Seeking,Psychological Sciences (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,19.0,Male,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
18.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,11/15/2024,Two or More,N,Moreno Valley,CA,United States,Moreno Valley,CA, ,USA,Sophomore,2.25,53.0,53.0,UGRD-Degree Seeking,Exercise Physiology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,20.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
19.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,12/2/2024,Hispanic/Latino,N,San Tan Valley,AZ,United States,San Tan Valley,AZ,Pinal,USA,Freshman,3.61,39.0,39.0,UGRD-Degree Seeking,Exercise Physiology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,20.0,Female,N,1251-1089,False,0,,,,,,,,,,,,,,,,,,
21.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,10/22/2024,White,N,McKinleyville,CA,United States,McKinleyville,CA, ,USA,Sophomore,3.42,62.0,62.0,UGRD-Degree Seeking,Psychological Sciences (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,19.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
24.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,12/5/2024,Hispanic/Latino,Y,Winslow,AZ,United States,Winslow,AZ,Navajo,USA,Sophomore,2.88,51.0,51.0,UGRD-Degree Seeking,Finance (BSBA),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,21.0,Female,Y,1251-1089,False,0,,,,,,,,,,,,,,,,,,
26.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,D,E,Enrolled,4.0,1/6/2025,Hispanic/Latino,Y,Blythe,CA,United States,Blythe,CA, ,USA,Freshman,1.95,32.0,32.0,UGRD-Degree Seeking,Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1251.0,DISLN,Online,Online,19.0,Female,Y,1251-1089,False,0,,,,,,,,,,,,,,,,,,
27.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,F,E,Enrolled,4.0,12/12/2024,Hispanic/Latino,Y,Chandler,AZ,United States,Chandler,AZ,Maricopa,USA,Freshman,1.62,32.0,32.0,UGRD-Degree Seeking,Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,20.0,Female,Y,1251-1089,False,0,,,,,,,,,,,,,,,,,,
28.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,1/6/2025,Black/African American,Y,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Junior,3.25,100.0,68.0,UGRD-Degree Seeking,Biomedical Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,22.0,Male,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
29.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,12/17/2024,Two or More,N,Wasilla,AK,United States,,, ,,Junior,3.23,96.0,63.0,UGRD-Degree Seeking,Photography (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,19.0,Female,N,1251-1089,False,0,,,,,,,,,,,,,,,,,,
31.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,10/28/2024,White,N,Yuma,AZ,United States,Yuma,AZ,Yuma,USA,Freshman,2.14,29.0,29.0,UGRD-Degree Seeking,Forestry (BSF),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1251.0,DISLN,Online,Online,20.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
33.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,D,E,Enrolled,4.0,11/21/2024,White,Y,Queen Creek,AZ,United States,Queen Creek,AZ,Maricopa,USA,Sophomore,2.63,62.0,52.0,UGRD-Degree Seeking,Forestry (BSF),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,22.0,Female,Y,1251-1089,False,0,,,,,,,,,,,,,,,,,,
34.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,D,E,Enrolled,4.0,1/6/2025,White,N,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Senior,2.62,163.0,50.0,UGRD-Degree Seeking,Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1251.0,DISLN,Online,Online,33.0,Male,N,1251-1089,False,0,,,,,,,,,,,,,,,,,,
36.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,12/17/2024,Hispanic/Latino,Y,Yuma,AZ,United States,Yuma,AZ,Yuma,USA,Junior,3.15,91.0,27.0,UGRD-Degree Seeking,Cybersecurity (BS),,Online,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,25.0,Male,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
38.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,1/7/2025,Hispanic/Latino,Y,Mesa,AZ,United States,Mesa,AZ,Maricopa,USA,Freshman,3.31,38.0,29.0,UGRD-Degree Seeking,Exercise Physiology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,19.0,Female,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
39.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,A,E,Enrolled,4.0,11/20/2024,International,U,Castellnovo,12,Spain,Castellnovo,12, ,ESP,Senior,3.3,117.0,68.0,UGRD-Degree Seeking,Biomedical Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1254.0,DISLN,Online,Online,21.0,Male,U,1251-1089,True,1,,,,,,,,,,,,,,,,,,
43.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,A,E,Enrolled,4.0,1/9/2025,White,N,Peoria,AZ,United States,Peoria,AZ,Maricopa,USA,Sophomore,3.86,63.0,42.0,UGRD-Degree Seeking,Management (BSBA),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1241.0,,1251.0,DISLN,Online,Online,19.0,Male,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
44.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,10/25/2024,Hispanic/Latino,Y,Laveen,AZ,United States,Laveen,AZ,Maricopa,USA,Sophomore,1.76,56.0,28.0,UGRD-Degree Seeking,Biomedical Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1244.0,,1257.0,DISLN,Online,Online,19.0,Male,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
47.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,10/28/2024,White,N,Carlsbad,CA,United States,Carlsbad,CA, ,USA,Freshman,2.97,32.0,29.0,UGRD-Degree Seeking,Forestry (BSF),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,19.0,Male,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
48.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,F,E,Enrolled,4.0,10/28/2024,Hispanic/Latino,N,Glendale,AZ,United States,Glendale,AZ,Maricopa,USA,Freshman,0.75,9.0,9.0,UGRD-Degree Seeking,Electrical Engineering (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,19.0,Male,N,1251-1089,False,0,,,,,,,,,,,,,,,,,,
50.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,10/22/2024,White,N,Gilbert,AZ,United States,Gilbert,AZ,Maricopa,USA,Freshman,3.26,35.0,35.0,UGRD-Degree Seeking,Biomedical Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,19.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
51.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,10/22/2024,Hispanic/Latino,Y,Phoenix,AZ,United States,Phoenix,AZ,Maricopa,USA,Freshman,3.0,34.0,34.0,UGRD-Degree Seeking,Psychological Sciences (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,19.0,Female,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
53.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,F,E,Enrolled,4.0,10/25/2024,Two or More,N,Sahuarita,AZ,United States,Sahuarita,AZ,Pima,USA,Freshman,2.55,28.0,28.0,UGRD-Degree Seeking,Environmental Sciences (BS),Environmental Geology Emp,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,18.0,Female,N,1251-1089,False,0,,,,,,,,,,,,,,,,,,
54.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,10/28/2024,Two or More,N,Henderson,NV,United States,Henderson,NV, ,USA,Sophomore,2.86,39.0,21.0,UGRD-Degree Seeking,Hlth Sci-Public Health (BS),,Online,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1251.0,DISLN,Online,Online,18.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
58.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,A,E,Enrolled,4.0,11/19/2024,Asian,N,Gilbert,AZ,United States,Gilbert,AZ,Maricopa,USA,Freshman,4.0,35.0,29.0,UGRD-Degree Seeking,Chemistry (BS),Health Preprofessional Emp,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1251.0,DISLN,Online,Online,19.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
59.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,A,E,Enrolled,4.0,10/21/2024,White,N,Glendale,AZ,United States,Munds Park,AZ,Coconino,USA,Junior,4.0,93.0,29.0,UGRD-Degree Seeking,Environmental Sciences (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,23.0,Male,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
60.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,10/28/2024,White,N,Glendale,AZ,United States,Glendale,AZ,Maricopa,USA,Freshman,3.2,30.0,30.0,UGRD-Degree Seeking,Construction Mgt (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1251.0,DISLN,Online,Online,19.0,Male,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
63.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,C,E,Enrolled,4.0,10/22/2024,Hispanic/Latino,Y,Las Vegas,NV,United States,Las Vegas,NV, ,USA,Freshman,3.1,30.0,30.0,UGRD-Degree Seeking,Biomedical Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,19.0,Male,Y,1251-2464,True,1,82.0,88.98158536585366,4540.133333333333,0.12195121951219512,70.0,1.0,68.9,99.6,95.75,84.81,84.69,55.85,56.58,76.3,63.64,70.25,,
64.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,11/6/2024,Hispanic/Latino,N,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Junior,2.51,73.0,61.0,UGRD-Degree Seeking,Geology (BS),Geology Coursework EMP,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1227.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,21.0,Male,N,1251-2464,False,0,,,,,,,,,,,,,,,,,,
65.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,10/25/2024,Asian,Y,flagstaff,AZ,United States,Tucson,AZ,Pima,USA,Sophomore,3.67,71.0,68.0,UGRD-Degree Seeking,Psychological Sciences (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,20.0,Female,Y,1251-2464,False,0,,,,,,,,,,,,,,,,,,
66.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,D,E,Enrolled,4.0,12/2/2024,Asian,Y,Honolulu,HI,United States,Honolulu,HI, ,USA,Sophomore,2.56,59.0,59.0,UGRD-Degree Seeking,Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,21.0,Male,Y,1251-2464,False,0,82.0,97.81951219512194,1535.55,0.08536585365853659,70.0,1.0,71.77,100.0,98.41,96.64,95.11,52.07,62.96,54.93,72.73,65.05,,
67.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,A,E,Enrolled,4.0,10/25/2024,White,N,Vail,AZ,United States,Vail,AZ,Pima,USA,Sophomore,4.0,71.0,69.0,UGRD-Degree Seeking,Microbiology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,20.0,Female,N,1251-2464,True,1,82.0,100.0,3251.0833333333335,0.036585365853658534,70.0,1.0,100.0,100.0,100.0,100.0,100.0,93.5,71.75,99.0,81.82,96.63,,
68.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,D,E,Enrolled,4.0,10/28/2024,White,N,New River,AZ,United States,New River,AZ,Maricopa,USA,Sophomore,2.59,58.0,58.0,UGRD-Degree Seeking,Mechanical Engineering (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,20.0,Male,N,1251-2464,False,0,82.0,68.96548780487805,2650.1666666666665,0.15853658536585366,70.0,1.0,77.0,39.0,80.09,68.54,70.61,65.0,19.83,70.4,0.0,64.5,,
69.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,F,E,Enrolled,4.0,12/20/2024,White,N,Phoenix,AZ,United States,Phoenix,AZ,Maricopa,USA,Sophomore,2.34,39.0,39.0,UGRD-Degree Seeking,Chemistry (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,20.0,Female,N,1251-2464,False,0,82.0,81.41548780487804,2686.133333333333,0.0975609756097561,70.0,1.0,88.0,26.8,93.15,74.83,76.85,55.95,19.38,50.34,36.36,54.98,,
70.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,F,E,Enrolled,4.0,1/12/2025,White,Y,Phoenix,AZ,United States,Phoenix,AZ,Maricopa,USA,Sophomore,2.24,51.0,51.0,UGRD-Degree Seeking,Geology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,20.0,Male,Y,1251-2464,False,0,82.0,70.98756097560975,900.2833333333333,0.2926829268292683,70.0,1.0,86.45,26.8,61.29,59.78,86.17,55.87,2.2,46.28,72.73,53.07,,
71.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,10/26/2024,White,Y,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Sophomore,2.86,59.0,59.0,UGRD-Degree Seeking,Forestry (BSF),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,20.0,Female,Y,1251-2464,False,0,,,,,,,,,,,,,,,,,,
74.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,10/28/2024,White,Y,Scottsdale,AZ,United States,Scottsdale,AZ,Maricopa,USA,Freshman,2.96,26.0,26.0,UGRD-Degree Seeking,Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,19.0,Male,Y,1251-2464,False,0,,,,,,,,,,,,,,,,,,
76.0,1251.0,MAT 125,2464.0,1.0,1.0,Precalculus Mathematics,A,E,Enrolled,4.0,10/28/2024,White,N,Queen Creek,AZ,United States,Queen Creek,AZ,Maricopa,USA,Freshman,4.0,28.0,28.0,UGRD-Degree Seeking,Data Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,FLGMT,Flagstaff Mountain,In Person,18.0,Male,N,1251-2464,True,1,82.0,98.19073170731707,2020.2833333333333,0.07317073170731707,70.0,1.0,94.0,100.0,96.85,98.28,97.54,87.75,30.58,88.0,72.73,90.78,,
