Identifier,Term,Class,Class.Nbr,Section,Primary.Instruction.Section,Class.Description,Official.Grade,Status.Cd,Status.Reason,Enrolled.Hours,Add.Date,IPEDS.Ethnicity,X1st.Gen.College.Std.Flag,Mail.City,Mail.State.Cd,Mail.Country,Home.City,Home.State.Cd,Home.County,Home.Country,Academic.Level.Begin.of.Term,Cum.GPA,Total.Cum.Units,Total.NAU.Units,Primary.Academic.Program,Primary.Academic.Plan,Sub.Plan,Student.Campus,College.Cd,College,Division.Cd,Division,Unit.Cd,Unit,First.Term.Enrolled.Cd.Ugrd,First.Term.Enrolled.Cd.Grad,Last.Term.Enrolled,Class.Campus.Cd,Class.Campus,Instruction.Mode,Age,Sex,1st.Gen.College.Std.Flag,section_code,Passed,Passed_int,hw_submissions,hw_score_mean,hw_time_total_min,hw_fast_submit_rate,hw_available,hw_completion_rate,unit1_exam_score,Attendance...Participation.Final.Score,Pre.Class.Prep.Final.Score,Check.Your.Understanding.Final.Score,Friday.Funday.Final.Score,Module.Knowledge.Assessments.Final.Score,Module.Practice.Knowledge.Assessments.Final.Score,Final.Knowledge.Assessment.Final.Score,Study.Skills.Videos.Final.Score,Final.Score,Projects.Final.Score,Assignments.Final.Score
1083.0,1247.0,MAT 125,4726.0,6.0,,,F,,Enrolled,,,Hispanic/Latino,,,,,,,,USA,Sophomore,2.28,38.0,35.0,,ImmersiveMedia&Games (BS),,Flagstaff Mountain,,,,,,,1237.0,,1251.0,FLGMT,,In Person,19.0,Female,N,1247-NA,False,0,67.0,21.81641791044776,809.5,0.7794117647058824,157.0,0.4267515923566879,70.0,26.6,26.16,24.83,17.08,17.5,5.17,0.0,11.11,16.15,,
1084.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,White,,,,,,,,USA,Sophomore,3.73,51.0,45.0,,Psychological Sciences (BS),,Flagstaff Mountain,,,,,,,1237.0,,1251.0,FLGMT,,In Person,19.0,Female,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1085.0,1247.0,MAT 125,4726.0,6.0,,,W,,Withdrawn from Class,,,Black/African American,,,,,,,,USA,Freshman,2.53,20.0,15.0,,Biomedical Science (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,Y,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1086.0,1247.0,MAT 125,4726.0,6.0,,,W,,Withdrawn from Class,,,White,,,,,,,,USA,Freshman,2.89,19.0,19.0,,Biology (BS),,Flagstaff Mountain,,,,,,,1237.0,,1241.0,FLGMT,,In Person,19.0,Female,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1087.0,1247.0,MAT 125,4726.0,6.0,,,C,,Enrolled,,,Black/African American,,,,,,,,USA,Freshman,2.18,36.0,36.0,,Exercise Physiology (BS),,Flagstaff Mountain,,,,,,,1237.0,,1251.0,FLGMT,,In Person,19.0,Male,N,1247-NA,True,1,68.0,81.97441176470589,1209.5333333333333,0.11764705882352941,157.0,0.43312101910828027,83.19,66.64,87.17,75.33,94.59,65.33,54.02,74.24,77.78,71.25,,
1088.0,1247.0,MAT 125,4726.0,6.0,,,F,,Enrolled,,,Hispanic/Latino,,,,,,,,USA,Freshman,0.57,6.0,6.0,,Biomedical Science (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,Y,1247-NA,False,0,68.0,61.458970588235296,1202.25,0.35294117647058826,157.0,0.43312101910828027,69.55,61.47,68.53,54.84,76.85,61.59,35.46,0.0,55.56,50.1,,
1089.0,1247.0,MAT 125,4726.0,6.0,,,A,,Enrolled,,,White,,,,,,,,USA,Freshman,3.43,18.0,15.0,,Exploratory,,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,19.0,Female,N,1247-NA,True,1,67.0,90.43134328358208,4414.9,0.14705882352941177,157.0,0.4267515923566879,92.3,100.0,92.87,89.42,96.9,95.08,48.26,80.5,100.0,92.57,,
1090.0,1247.0,MAT 125,4726.0,6.0,,,C,,Enrolled,,,Hispanic/Latino,,,,,,,,USA,Freshman,3.0,42.0,16.0,,Environmental Engr (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,Y,1247-NA,True,1,68.0,91.49632352941177,2746.7666666666664,0.04411764705882353,157.0,0.43312101910828027,65.5,98.94,95.46,89.42,100.0,67.28,25.09,64.44,77.78,77.26,,
1091.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,Hispanic/Latino,,,,,,,,USA,Freshman,2.33,23.0,13.0,,Chemistry (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,False,0,68.0,84.79808823529412,2931.4166666666665,0.10294117647058823,157.0,0.43312101910828027,79.1,96.77,92.48,85.67,56.49,68.83,16.43,49.05,55.56,69.79,,
1092.0,1247.0,MAT 125,4726.0,6.0,,,C,,Enrolled,,,Hispanic/Latino,,,,,,,,USA,Freshman,2.54,13.0,13.0,,Environmental Engr (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,True,1,68.0,80.09764705882354,2391.9666666666667,0.10294117647058823,157.0,0.43312101910828027,91.4,73.05,82.77,73.77,80.89,75.14,21.4,72.47,100.0,74.71,,
